video_id,scene_label
ApplyEyeMakeup/v_ApplyEyeMakeup_g01_c01,phone_booth
ApplyEyeMakeup/v_ApplyEyeMakeup_g01_c02,phone_booth
ApplyEyeMakeup/v_ApplyEyeMakeup_g01_c03,bar
ApplyEyeMakeup/v_ApplyEyeMakeup_g01_c04,phone_booth
ApplyEyeMakeup/v_ApplyEyeMakeup_g01_c05,phone_booth
ApplyEyeMakeup/v_ApplyEyeMakeup_g01_c06,phone_booth
ApplyEyeMakeup/v_ApplyEyeMakeup_g02_c01,art_gallery
ApplyEyeMakeup/v_ApplyEyeMakeup_g02_c02,art_gallery
ApplyEyeMakeup/v_ApplyEyeMakeup_g02_c03,home_theater
ApplyEyeMakeup/v_ApplyEyeMakeup_g02_c04,television_studio
ApplyEyeMakeup/v_ApplyEyeMakeup_g03_c01,dressing_room
ApplyEyeMakeup/v_ApplyEyeMakeup_g03_c02,dressing_room
ApplyEyeMakeup/v_ApplyEyeMakeup_g03_c03,dressing_room
ApplyEyeMakeup/v_ApplyEyeMakeup_g03_c04,dressing_room
ApplyEyeMakeup/v_ApplyEyeMakeup_g03_c05,dressing_room
ApplyEyeMakeup/v_ApplyEyeMakeup_g03_c06,dressing_room
ApplyEyeMakeup/v_ApplyEyeMakeup_g04_c01,art_gallery
ApplyEyeMakeup/v_ApplyEyeMakeup_g04_c02,art_gallery
ApplyEyeMakeup/v_ApplyEyeMakeup_g04_c03,art_gallery
ApplyEyeMakeup/v_ApplyEyeMakeup_g04_c04,art_gallery
ApplyEyeMakeup/v_ApplyEyeMakeup_g04_c05,beauty_salon
ApplyEyeMakeup/v_ApplyEyeMakeup_g04_c06,art_gallery
ApplyEyeMakeup/v_ApplyEyeMakeup_g04_c07,art_gallery
ApplyEyeMakeup/v_ApplyEyeMakeup_g05_c01,stage/indoor
ApplyEyeMakeup/v_ApplyEyeMakeup_g05_c02,stage/indoor
ApplyEyeMakeup/v_ApplyEyeMakeup_g05_c03,stage/indoor
ApplyEyeMakeup/v_ApplyEyeMakeup_g05_c04,stage/indoor
ApplyEyeMakeup/v_ApplyEyeMakeup_g05_c05,stage/indoor
ApplyEyeMakeup/v_ApplyEyeMakeup_g05_c06,stage/indoor
ApplyEyeMakeup/v_ApplyEyeMakeup_g05_c07,home_theater
ApplyEyeMakeup/v_ApplyEyeMakeup_g06_c01,dressing_room
ApplyEyeMakeup/v_ApplyEyeMakeup_g06_c02,dressing_room
ApplyEyeMakeup/v_ApplyEyeMakeup_g06_c03,hospital_room
ApplyEyeMakeup/v_ApplyEyeMakeup_g06_c04,dressing_room
ApplyEyeMakeup/v_ApplyEyeMakeup_g06_c05,dressing_room
ApplyEyeMakeup/v_ApplyEyeMakeup_g06_c06,hospital_room
ApplyEyeMakeup/v_ApplyEyeMakeup_g06_c07,hospital_room
ApplyEyeMakeup/v_ApplyEyeMakeup_g07_c01,dressing_room
ApplyEyeMakeup/v_ApplyEyeMakeup_g07_c02,dressing_room
ApplyEyeMakeup/v_ApplyEyeMakeup_g07_c03,dressing_room
ApplyEyeMakeup/v_ApplyEyeMakeup_g07_c04,shower
